"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Причепи та напівпричепи","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Мотоблоки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Мотоблоки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Водяні насоси і насосні станції","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Водяні насоси і насосні станції","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Дощувальні машини","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Автономна Республіка Крим","Дощувальні машини","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","270","258"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","51","51"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни льонозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","322","314"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","30","30"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни зернозбиральні","Підприємства","Річна","1653","1670"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни зернозбиральні","Фермерські господарства","Річна","676","696"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни кукурудзозбиральні","Підприємства","Річна","126","125"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","35","36"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","31","29"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","15","15"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Молочні сепаратори","Підприємства","Річна","8","9"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Культиватори","Підприємства","Річна","4392","4515"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Культиватори","Фермерські господарства","Річна","1387","1476"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Роздавачі кормів","Підприємства","Річна","187","197"
