"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Доїльні  апарати","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Доїльні  апарати","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Доїльні установки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Доїльні установки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Очищувачі-охолоджувачі молока","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Сінокосарки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Сінокосарки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Плуги","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Плуги","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Техніка для післяурожайних робіт","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Техніка для післяурожайних робіт","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Картоплесаджалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Картоплесаджалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Жатки валкові","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Розкидачі гною і добрив","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Розкидачі гною і добрив","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Трактори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Трактори колісні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Трактори колісні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Причепи та напівпричепи","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Причепи та напівпричепи","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Мотоблоки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Мотоблоки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Водяні насоси і насосні станції","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Водяні насоси і насосні станції","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Дощувальні машини","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Севастополь","Дощувальні машини","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","","51"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","","4"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни льонозбиральні","Підприємства","Річна","","4"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни льонозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","","132"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","","14"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни зернозбиральні","Підприємства","Річна","","2096"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни зернозбиральні","Фермерські господарства","Річна","","779"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни кукурудзозбиральні","Підприємства","Річна","","87"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","","38"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","","61"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","","26"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Молочні сепаратори","Підприємства","Річна","","18"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Молочні сепаратори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Культиватори","Підприємства","Річна","","4340"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Культиватори","Фермерські господарства","Річна","","1809"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Роздавачі кормів","Підприємства","Річна","","387"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Роздавачі кормів","Фермерські господарства","Річна","","38"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Борони","Підприємства","Річна","","6189"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Борони","Фермерські господарства","Річна","","2356"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Дискові борони","Підприємства","Річна","","2580"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Дискові борони","Фермерські господарства","Річна","","1189"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Інкубатори","Підприємства","Річна","","191"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Інкубатори","Фермерські господарства","Річна","","10"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","4546"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","957"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і механізми для приготування кормів","Підприємства","Річна","","353"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і механізми для приготування кормів","Фермерські господарства","Річна","","57"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Cівалки","Підприємства","Річна","","4765"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Cівалки","Фермерські господарства","Річна","","2069"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини посівні та для садіння","Підприємства","Річна","","5119"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини посівні та для садіння","Фермерські господарства","Річна","","2228"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Підприємства","Річна","","12"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","","57"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Фермерські господарства","Річна","","19"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини для захисту сільськогосподарських культур","Підприємства","Річна","","2181"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини для захисту сільськогосподарських культур","Фермерські господарства","Річна","","867"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і пристрої для поливу","Підприємства","Річна","","485"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Машини і пристрої для поливу","Фермерські господарства","Річна","","126"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Транспортери для прибирання гною","Підприємства","Річна","","583"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Транспортери для прибирання гною","Фермерські господарства","Річна","","80"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Доїльні  апарати","Підприємства","Річна","","310"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Доїльні  апарати","Фермерські господарства","Річна","","51"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Доїльні установки","Підприємства","Річна","","321"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Доїльні установки","Фермерські господарства","Річна","","48"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Очищувачі-охолоджувачі молока","Підприємства","Річна","","133"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","","25"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Сінокосарки","Підприємства","Річна","","802"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Сінокосарки","Фермерські господарства","Річна","","233"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Плуги","Підприємства","Річна","","3469"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Плуги","Фермерські господарства","Річна","","1574"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Техніка для післяурожайних робіт","Підприємства","Річна","","1716"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Техніка для післяурожайних робіт","Фермерські господарства","Річна","","676"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Картоплесаджалки","Підприємства","Річна","","63"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Картоплесаджалки","Фермерські господарства","Річна","","32"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","","497"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","","132"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Жатки валкові","Підприємства","Річна","","1712"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Жатки валкові","Фермерські господарства","Річна","","616"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Розкидачі гною і добрив","Підприємства","Річна","","2287"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Розкидачі гною і добрив","Фермерські господарства","Річна","","885"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Трактори","Підприємства","Річна","","8444"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Трактори","Фермерські господарства","Річна","","3021"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Трактори колісні","Підприємства","Річна","","7707"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Трактори колісні","Фермерські господарства","Річна","","2813"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Причепи та напівпричепи","Підприємства","Річна","","4213"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Причепи та напівпричепи","Фермерські господарства","Річна","","1008"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Мотоблоки","Підприємства","Річна","","406"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Мотоблоки","Фермерські господарства","Річна","","326"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Водяні насоси і насосні станції","Підприємства","Річна","","824"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Водяні насоси і насосні станції","Фермерські господарства","Річна","","129"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Дощувальні машини","Підприємства","Річна","","307"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Україна","Дощувальні машини","Фермерські господарства","Річна","","116"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Комбайни зернозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Борони","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Cівалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Cівалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Жатки валкові","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Трактори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Автономна Республіка Крим","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Комбайни зернозбиральні","Підприємства","Річна","","108"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Комбайни зернозбиральні","Фермерські господарства","Річна","","51"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Борони","Підприємства","Річна","","536"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Борони","Фермерські господарства","Річна","","219"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","291"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","78"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Cівалки","Підприємства","Річна","","340"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Cівалки","Фермерські господарства","Річна","","115"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Жатки валкові","Підприємства","Річна","","157"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Жатки валкові","Фермерські господарства","Річна","","45"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Трактори","Підприємства","Річна","","583"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Вінницька","Трактори","Фермерські господарства","Річна","","259"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Комбайни зернозбиральні","Підприємства","Річна","","44"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Комбайни зернозбиральні","Фермерські господарства","Річна","","14"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Борони","Підприємства","Річна","","71"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Борони","Фермерські господарства","Річна","","43"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","94"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","21"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Cівалки","Підприємства","Річна","","43"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Cівалки","Фермерські господарства","Річна","","23"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Жатки валкові","Підприємства","Річна","","34"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Жатки валкові","Фермерські господарства","Річна","","14"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Трактори","Підприємства","Річна","","164"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Волинська","Трактори","Фермерські господарства","Річна","","52"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Комбайни зернозбиральні","Підприємства","Річна","","169"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Комбайни зернозбиральні","Фермерські господарства","Річна","","79"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Борони","Підприємства","Річна","","561"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Борони","Фермерські господарства","Річна","","250"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","321"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","57"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Cівалки","Підприємства","Річна","","382"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Cівалки","Фермерські господарства","Річна","","175"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Жатки валкові","Підприємства","Річна","","142"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Жатки валкові","Фермерські господарства","Річна","","50"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Трактори","Підприємства","Річна","","613"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Дніпропетровська","Трактори","Фермерські господарства","Річна","","245"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Комбайни зернозбиральні","Підприємства","Річна","","76"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Комбайни зернозбиральні","Фермерські господарства","Річна","","19"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Борони","Підприємства","Річна","","113"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Борони","Фермерські господарства","Річна","","45"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","93"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","6"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Cівалки","Підприємства","Річна","","136"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Cівалки","Фермерські господарства","Річна","","78"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Жатки валкові","Підприємства","Річна","","47"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Жатки валкові","Фермерські господарства","Річна","","15"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Трактори","Підприємства","Річна","","145"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Донецька","Трактори","Фермерські господарства","Річна","","38"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Комбайни зернозбиральні","Підприємства","Річна","","39"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Комбайни зернозбиральні","Фермерські господарства","Річна","","7"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Борони","Підприємства","Річна","","197"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Борони","Фермерські господарства","Річна","","53"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","127"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","21"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Cівалки","Підприємства","Річна","","128"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Cівалки","Фермерські господарства","Річна","","48"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Жатки валкові","Підприємства","Річна","","52"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Жатки валкові","Фермерські господарства","Річна","","16"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Трактори","Підприємства","Річна","","305"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Житомирська","Трактори","Фермерські господарства","Річна","","80"
