Region,Crop_Eng,Yield,Average_soil_moisture,Drought,Yield_norm,Moisture_norm,Drought_norm,SCOR,SCOR_norm,Fert_SCOR,Cost_SCOR
Rivnenska oblast,Barley,39.04889673433363,14.594185320005428,0.0,0.6556398975734615,0.2308648121606702,1.0,0.3711650967552894,0.6319501955610922,0.8937799999999999,0.0181378101174314
Rivnenska oblast,Barley,39.04889673433363,14.594185320005428,0.0,0.6556398975734615,0.2308648121606702,1.0,0.3711650967552894,0.6319501955610922,0.3591999999999999,0.0181378101174314
Rivnenska oblast,Barley,39.04889673433363,14.594185320005428,0.0,0.6556398975734615,0.2308648121606702,1.0,0.3711650967552894,0.6319501955610922,0.36322,0.0181378101174314
Rivnenska oblast,Barley,39.04889673433363,14.594185320005428,0.0,0.6556398975734615,0.2308648121606702,1.0,0.3711650967552894,0.6319501955610922,0.0442399999999999,0.0181378101174314
Rivnenska oblast,Barley,39.04889673433363,14.594185320005428,0.0,0.6556398975734615,0.2308648121606702,1.0,0.3711650967552894,0.6319501955610922,0.04808,0.0181378101174314
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.16404,0.1255433882288573
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.8681000000000001,0.1255433882288573
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.36412,0.1255433882288573
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.3674199999999999,0.1255433882288573
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.04808,0.1255433882288573
Rivnenska oblast,Maize,79.76028243601058,14.594185320005428,0.0,0.8351978659347443,0.2308648121606702,1.0,0.3113124406348618,0.5150982878461409,0.05196,0.1255433882288573
Rivnenska oblast,Potato,180.5980582524272,14.594185320005428,0.0,0.8451374922535366,0.2308648121606702,1.0,0.307999231861931,0.5086298236062934,0.0,0.0017284689054901
Rivnenska oblast,Potato,180.5980582524272,14.594185320005428,0.0,0.8451374922535366,0.2308648121606702,1.0,0.307999231861931,0.5086298236062934,0.5723999999999999,0.0017284689054901
Rivnenska oblast,Potato,180.5980582524272,14.594185320005428,0.0,0.8451374922535366,0.2308648121606702,1.0,0.307999231861931,0.5086298236062934,0.4702199999999999,0.0017284689054901
