datetime,temperature,year,month,day,hour
2025-01-22 09:00:00,0.6,2025,1,22,9
2025-01-22 12:00:00,1.4,2025,1,22,12
2025-01-22 15:00:00,1.1,2025,1,22,15
2025-01-22 18:00:00,0.7,2025,1,22,18
2025-01-22 21:00:00,0.8,2025,1,22,21
2025-01-23 00:00:00,-2.5,2025,1,23,0
2025-01-23 03:00:00,-1.4,2025,1,23,3
2025-01-23 06:00:00,-0.8,2025,1,23,6
2025-01-23 09:00:00,1.9,2025,1,23,9
2025-01-23 12:00:00,5.6,2025,1,23,12
2025-01-23 15:00:00,3.5,2025,1,23,15
2025-01-23 18:00:00,2.1,2025,1,23,18
2025-01-23 21:00:00,4.3,2025,1,23,21
2025-01-24 00:00:00,4.1,2025,1,24,0
2025-01-24 03:00:00,2.6,2025,1,24,3
2025-01-24 06:00:00,1.5,2025,1,24,6
2025-01-24 09:00:00,2.2,2025,1,24,9
2025-01-24 12:00:00,3.1,2025,1,24,12
2025-01-24 15:00:00,3.3,2025,1,24,15
2025-01-24 18:00:00,0.4,2025,1,24,18
2025-01-24 21:00:00,-3.0,2025,1,24,21
2025-01-25 00:00:00,-0.8,2025,1,25,0
2025-01-25 03:00:00,-3.1,2025,1,25,3
2025-01-25 06:00:00,-1.5,2025,1,25,6
2025-01-25 09:00:00,4.3,2025,1,25,9
2025-01-25 12:00:00,7.2,2025,1,25,12
2025-01-25 15:00:00,6.1,2025,1,25,15
2025-01-25 18:00:00,4.7,2025,1,25,18
2025-01-25 21:00:00,3.0,2025,1,25,21
2025-01-26 00:00:00,2.3,2025,1,26,0
2025-01-26 03:00:00,0.7,2025,1,26,3
2025-01-26 06:00:00,0.2,2025,1,26,6
2025-01-26 09:00:00,3.3,2025,1,26,9
2025-01-26 12:00:00,7.0,2025,1,26,12
2025-01-26 15:00:00,5.4,2025,1,26,15
2025-01-26 18:00:00,5.0,2025,1,26,18
2025-01-26 21:00:00,4.4,2025,1,26,21
2025-01-27 00:00:00,0.1,2025,1,27,0
2025-01-27 03:00:00,1.4,2025,1,27,3
2025-01-27 06:00:00,1.2,2025,1,27,6
2025-01-27 09:00:00,10.9,2025,1,27,9
2025-01-27 12:00:00,12.2,2025,1,27,12
2025-01-27 15:00:00,9.2,2025,1,27,15
2025-01-27 18:00:00,5.4,2025,1,27,18
2025-01-27 21:00:00,5.3,2025,1,27,21
2025-01-28 00:00:00,5.0,2025,1,28,0
2025-01-28 03:00:00,3.9,2025,1,28,3
2025-01-28 06:00:00,3.1,2025,1,28,6
2025-01-28 09:00:00,9.3,2025,1,28,9
2025-01-28 12:00:00,14.7,2025,1,28,12
2025-01-28 15:00:00,12.2,2025,1,28,15
2025-01-28 18:00:00,9.4,2025,1,28,18
2025-01-28 21:00:00,7.7,2025,1,28,21
2025-01-29 00:00:00,6.9,2025,1,29,0
2025-01-29 03:00:00,7.4,2025,1,29,3
2025-01-29 06:00:00,8.9,2025,1,29,6
2025-01-29 09:00:00,10.8,2025,1,29,9
2025-01-29 12:00:00,13.0,2025,1,29,12
2025-01-29 15:00:00,10.7,2025,1,29,15
2025-01-29 18:00:00,6.9,2025,1,29,18
2025-01-29 21:00:00,5.0,2025,1,29,21
2025-01-30 00:00:00,1.8,2025,1,30,0
2025-01-30 03:00:00,0.8,2025,1,30,3
2025-01-30 06:00:00,1.3,2025,1,30,6
2025-01-30 09:00:00,9.6,2025,1,30,9
2025-01-30 12:00:00,12.7,2025,1,30,12
2025-01-30 15:00:00,11.2,2025,1,30,15
2025-01-30 18:00:00,1.5,2025,1,30,18
2025-01-30 21:00:00,2.1,2025,1,30,21
2025-01-31 00:00:00,1.2,2025,1,31,0
2025-01-31 03:00:00,1.1,2025,1,31,3
2025-01-31 06:00:00,3.2,2025,1,31,6
2025-01-31 09:00:00,4.8,2025,1,31,9
2025-01-31 12:00:00,10.5,2025,1,31,12
2025-01-31 15:00:00,9.5,2025,1,31,15
2025-01-31 18:00:00,6.7,2025,1,31,18
2025-01-31 21:00:00,3.4,2025,1,31,21
2025-02-01 00:00:00,1.9,2025,2,1,0
2025-02-01 03:00:00,0.9,2025,2,1,3
2025-02-01 06:00:00,0.0,2025,2,1,6
2025-02-01 09:00:00,1.4,2025,2,1,9
2025-02-01 12:00:00,2.1,2025,2,1,12
2025-02-01 15:00:00,1.7,2025,2,1,15
2025-02-01 18:00:00,1.3,2025,2,1,18
2025-02-01 21:00:00,1.1,2025,2,1,21
2025-02-02 00:00:00,0.5,2025,2,2,0
2025-02-02 03:00:00,0.0,2025,2,2,3
2025-02-02 06:00:00,-0.4,2025,2,2,6
2025-02-02 09:00:00,0.6,2025,2,2,9
2025-02-02 12:00:00,1.6,2025,2,2,12
2025-02-02 15:00:00,1.0,2025,2,2,15
2025-02-02 18:00:00,0.0,2025,2,2,18
2025-02-02 21:00:00,-0.5,2025,2,2,21
2025-02-03 00:00:00,-0.9,2025,2,3,0
2025-02-03 03:00:00,-1.3,2025,2,3,3
2025-02-03 06:00:00,-2.3,2025,2,3,6
2025-02-03 09:00:00,-1.3,2025,2,3,9
2025-02-03 12:00:00,-0.4,2025,2,3,12
2025-02-03 15:00:00,-0.7,2025,2,3,15
2025-02-03 18:00:00,-1.0,2025,2,3,18
2025-02-03 21:00:00,-1.1,2025,2,3,21
2025-02-04 00:00:00,-1.2,2025,2,4,0
2025-02-04 03:00:00,-1.3,2025,2,4,3
2025-02-04 06:00:00,-1.4,2025,2,4,6
2025-02-04 09:00:00,-0.4,2025,2,4,9
2025-02-04 12:00:00,0.5,2025,2,4,12
2025-02-04 15:00:00,0.2,2025,2,4,15
2025-02-04 18:00:00,0.4,2025,2,4,18
2025-02-04 21:00:00,0.4,2025,2,4,21
2025-02-05 00:00:00,-1.3,2025,2,5,0
2025-02-05 03:00:00,-1.9,2025,2,5,3
2025-02-05 06:00:00,-2.1,2025,2,5,6
2025-02-05 09:00:00,1.7,2025,2,5,9
2025-02-05 12:00:00,3.7,2025,2,5,12
2025-02-05 15:00:00,3.2,2025,2,5,15
2025-02-05 18:00:00,2.2,2025,2,5,18
2025-02-05 21:00:00,1.3,2025,2,5,21
2025-02-06 00:00:00,0.4,2025,2,6,0
2025-02-06 03:00:00,-0.2,2025,2,6,3
2025-02-06 06:00:00,-1.0,2025,2,6,6
2025-02-06 09:00:00,-0.8,2025,2,6,9
2025-02-06 12:00:00,-0.1,2025,2,6,12
2025-02-06 15:00:00,-0.2,2025,2,6,15
2025-02-06 18:00:00,-0.3,2025,2,6,18
2025-02-06 21:00:00,-2.4,2025,2,6,21
2025-02-07 00:00:00,-3.0,2025,2,7,0
2025-02-07 03:00:00,-3.4,2025,2,7,3
2025-02-07 06:00:00,-2.5,2025,2,7,6
2025-02-07 09:00:00,-1.1,2025,2,7,9
2025-02-07 12:00:00,-0.8,2025,2,7,12
2025-02-07 15:00:00,-1.5,2025,2,7,15
2025-02-07 18:00:00,-3.0,2025,2,7,18
2025-02-07 21:00:00,-3.9,2025,2,7,21
2025-02-08 00:00:00,-4.4,2025,2,8,0
2025-02-08 03:00:00,-4.3,2025,2,8,3
2025-02-08 06:00:00,-3.7,2025,2,8,6
2025-02-08 09:00:00,-2.4,2025,2,8,9
2025-02-08 12:00:00,-0.6,2025,2,8,12
2025-02-08 15:00:00,-2.0,2025,2,8,15
2025-02-08 18:00:00,-5.1,2025,2,8,18
2025-02-08 21:00:00,-5.5,2025,2,8,21
2025-02-09 00:00:00,-6.2,2025,2,9,0
2025-02-09 03:00:00,-6.1,2025,2,9,3
2025-02-09 06:00:00,-6.4,2025,2,9,6
2025-02-09 09:00:00,-4.0,2025,2,9,9
2025-02-09 12:00:00,-0.5,2025,2,9,12
2025-02-09 15:00:00,0.1,2025,2,9,15
2025-02-09 18:00:00,-2.4,2025,2,9,18
2025-02-09 21:00:00,-4.9,2025,2,9,21
2025-02-10 00:00:00,-6.3,2025,2,10,0
2025-02-10 03:00:00,-6.4,2025,2,10,3
2025-02-10 06:00:00,-7.1,2025,2,10,6
2025-02-10 09:00:00,-1.6,2025,2,10,9
2025-02-10 12:00:00,2.0,2025,2,10,12
2025-02-10 15:00:00,1.2,2025,2,10,15
2025-02-10 18:00:00,-2.2,2025,2,10,18
2025-02-10 21:00:00,-4.7,2025,2,10,21
2025-02-11 00:00:00,-8.8,2025,2,11,0
2025-02-11 03:00:00,-8.1,2025,2,11,3
2025-02-11 06:00:00,-8.3,2025,2,11,6
